Libro,Abrev,Total
Génesis,Gn,50
Éxodo,Éx,40
Levítico,Lv,27
Números,Nm,36
Deuteronomio,Dt,34
Josué,Jos,24
Jueces,Jc,21
1_Samuel,1_Sm,31
2_Samuel,2_Sm,24
1_Reyes,1_Re,22
2_Reyes,2_Re,25
Isaías,Is,66
Jeremías,Jr,52
Ezequiel,Ez,48
Oseas,Os,14
Joel,Jl,4
Amós,Am,9
Abdías,Abd,1
Jonás,Jon,4
Miqueas,Mi,7
Nahún,Na,3
Habacuc,Hab,3
Sofonías,So,3
Ageo,Ag,2
Zacarías,Za,14
Malaquías,Mal,3
Salmos,Sal,150
Job,Job,42
Proverbios,Pr,31
Rut,Rt,4
Cantar_de_los_Cantares,Cant,8
Eclesiastés,Ec,12
Lamentaciones,Lam,5
Ester,Est,10
Daniel,Dn,12
1_Crónicas,1_Cr,29
2_Crónicas,2_Cr,36
Esdras,Es,10
Nehemías,Ne,13
Judit,Jdt,16
Tobías,Tob,14
1_Macabeos,1_Mac,16
2_Macabeos,2_Mac,15
Sabiduría,Sab,19
Sirácides_o_Eclesiástico,Si,51
Baruc,Ba,5
Carta Jeremias,C-Jr,1
Mateo,Mt,28
Marcos,Mc,16
Lucas,Lc,24
Juan,Jn,21
Hechos_de_los_Apóstoles,Hch,28
Romanos,Rom,16
1_Corintios,1_Co,16
2_Corintios,2_Co,13
Gálatas,Gál,6
Efesios,Ef,6
Filipenses,Flp,4
Colosenses,Col,4
1_Tesalonicenses,1_Tes,5
2_Tesalonicenses,2_Tes,3
1_Timoteo,1_Tim,6
2_Timoteo,2_Tim,4
Tito,Ti,3
Filemón,Flm,1
Hebreos,Heb,13
Santiago,St,5
1_Pedro,1_Pe,5
2_Pedro,2_Pe,3
1_Juan,1_Jn,5
2_Juan,2_Jn,1
3_Juan,3_Jn,1
Judas,Jud,1
Apocalipsis,Ap,22

Ester_Suplemento_Griego,E-S-G,10
Daniel_Suplemento_Griego,D-S-G,14

